dataset	mismatches	cover_extension	island_of_exact_match	num_probes
aedes_flavivirus	7	30	25	148
aedes_flavivirus	7	40	25	126
aedes_flavivirus	7	50	25	109
aedes_flavivirus	8	0	25	280
aedes_flavivirus	8	10	25	273
aedes_flavivirus	8	20	25	196
aedes_flavivirus	8	30	25	140
aedes_flavivirus	8	40	25	117
aedes_flavivirus	8	50	25	100
african_green_monkey_simian_foamy	0	0	25	374
african_green_monkey_simian_foamy	0	10	25	382
african_green_monkey_simian_foamy	0	20	25	302
african_green_monkey_simian_foamy	0	30	25	242
african_green_monkey_simian_foamy	0	40	25	210
african_green_monkey_simian_foamy	0	50	25	169
african_green_monkey_simian_foamy	1	0	25	365
african_green_monkey_simian_foamy	1	10	25	384
african_green_monkey_simian_foamy	1	20	25	300
african_green_monkey_simian_foamy	1	30	25	252
african_green_monkey_simian_foamy	1	40	25	209
african_green_monkey_simian_foamy	1	50	25	171
african_green_monkey_simian_foamy	2	0	25	364
african_green_monkey_simian_foamy	2	10	25	374
african_green_monkey_simian_foamy	2	20	25	296
african_green_monkey_simian_foamy	2	30	25	238
african_green_monkey_simian_foamy	2	40	25	198
african_green_monkey_simian_foamy	2	50	25	163
african_green_monkey_simian_foamy	3	0	25	360
african_green_monkey_simian_foamy	3	10	25	363
african_green_monkey_simian_foamy	3	20	25	291
african_green_monkey_simian_foamy	3	30	25	235
african_green_monkey_simian_foamy	3	40	25	198
african_green_monkey_simian_foamy	3	50	25	165
african_green_monkey_simian_foamy	4	0	25	351
african_green_monkey_simian_foamy	4	10	25	365
african_green_monkey_simian_foamy	4	20	25	277
african_green_monkey_simian_foamy	4	30	25	230
african_green_monkey_simian_foamy	4	40	25	195
african_green_monkey_simian_foamy	4	50	25	154
african_green_monkey_simian_foamy	5	0	25	349
african_green_monkey_simian_foamy	5	10	25	351
african_green_monkey_simian_foamy	5	20	25	266
african_green_monkey_simian_foamy	5	30	25	209
african_green_monkey_simian_foamy	5	40	25	181
african_green_monkey_simian_foamy	5	50	25	150
african_green_monkey_simian_foamy	6	0	25	345
african_green_monkey_simian_foamy	6	10	25	348
african_green_monkey_simian_foamy	6	20	25	269
african_green_monkey_simian_foamy	6	30	25	217
african_green_monkey_simian_foamy	6	40	25	178
african_green_monkey_simian_foamy	6	50	25	148
african_green_monkey_simian_foamy	7	0	25	342
african_green_monkey_simian_foamy	7	10	25	338
african_green_monkey_simian_foamy	7	20	25	262
african_green_monkey_simian_foamy	7	30	25	215
african_green_monkey_simian_foamy	7	40	25	184
african_green_monkey_simian_foamy	7	50	25	146
african_green_monkey_simian_foamy	8	0	25	327
african_green_monkey_simian_foamy	8	10	25	332
african_green_monkey_simian_foamy	8	20	25	255
african_green_monkey_simian_foamy	8	30	25	210
african_green_monkey_simian_foamy	8	40	25	173
african_green_monkey_simian_foamy	8	50	25	145
aguacate	0	0	25	801
aguacate	0	10	25	859
aguacate	0	20	25	657
aguacate	0	30	25	539
aguacate	0	40	25	464
aguacate	0	50	25	376
aguacate	1	0	25	807
aguacate	1	10	25	853
aguacate	1	20	25	679
aguacate	1	30	25	539
aguacate	1	40	25	452
aguacate	1	50	25	371
aguacate	2	0	25	804
aguacate	2	10	25	839
aguacate	2	20	25	655
aguacate	2	30	25	530
aguacate	2	40	25	461
aguacate	2	50	25	378
aguacate	3	0	25	793
aguacate	3	10	25	823
aguacate	3	20	25	648
aguacate	3	30	25	535
aguacate	3	40	25	452
aguacate	3	50	25	361
aguacate	4	0	25	775
aguacate	4	10	25	826
aguacate	4	20	25	637
aguacate	4	30	25	523
aguacate	4	40	25	435
aguacate	4	50	25	359
aguacate	5	0	25	767
aguacate	5	10	25	819
aguacate	5	20	25	629
aguacate	5	30	25	516
aguacate	5	40	25	448
aguacate	5	50	25	356
aguacate	6	0	25	761
aguacate	6	10	25	805
aguacate	6	20	25	629
aguacate	6	30	25	509
aguacate	6	40	25	423
aguacate	6	50	25	340
aguacate	7	0	25	752
aguacate	7	10	25	805
aguacate	7	20	25	623
aguacate	7	30	25	504
aguacate	7	40	25	419
aguacate	7	50	25	353
aguacate	8	0	25	744
aguacate	8	10	25	783
aguacate	8	20	25	597
aguacate	8	30	25	492
aguacate	8	40	25	413
aguacate	8	50	25	343
aichivirus_a	0	0	25	2455
aichivirus_a	0	10	25	2449
aichivirus_a	0	20	25	1863
aichivirus_a	0	30	25	1542
aichivirus_a	0	40	25	1284
aichivirus_a	0	50	25	1054
aichivirus_a	1	0	25	2130
aichivirus_a	1	10	25	2033
aichivirus_a	1	20	25	1555
aichivirus_a	1	30	25	1239
aichivirus_a	1	40	25	1037
aichivirus_a	1	50	25	860
aichivirus_a	2	0	25	1811
aichivirus_a	2	10	25	1704
aichivirus_a	2	20	25	1274
aichivirus_a	2	30	25	1040
aichivirus_a	2	40	25	839
aichivirus_a	2	50	25	664
aichivirus_a	3	0	25	1552
aichivirus_a	3	10	25	1444
aichivirus_a	3	20	25	1091
aichivirus_a	3	30	25	873
aichivirus_a	3	40	25	756
aichivirus_a	3	50	25	623
aichivirus_a	4	0	25	1398
aichivirus_a	4	10	25	1277
aichivirus_a	4	20	25	992
aichivirus_a	4	30	25	788
aichivirus_a	4	40	25	650
aichivirus_a	4	50	25	531
aichivirus_a	5	0	25	1280
aichivirus_a	5	10	25	1178
aichivirus_a	5	20	25	917
